0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,2,0,4,5,3,7,8,6,10,11,9,13,14,12,16,17,15,19,20,18,22,23,21
2,0,1,5,3,4,8,6,7,11,9,10,14,12,13,17,15,16,20,18,19,23,21,22
3,10,8,0,7,11,9,4,2,6,1,5,21,16,20,18,13,23,15,22,14,12,19,17
4,11,6,1,8,9,10,5,0,7,2,3,22,17,18,19,14,21,16,23,12,13,20,15
5,9,7,2,6,10,11,3,1,8,0,4,23,15,19,20,12,22,17,21,13,14,18,16
6,4,11,9,1,8,0,10,5,3,7,2,18,22,17,21,19,14,12,16,23,15,13,20
7,5,9,10,2,6,1,11,3,4,8,0,19,23,15,22,20,12,13,17,21,16,14,18
8,3,10,11,0,7,2,9,4,5,6,1,20,21,16,23,18,13,14,15,22,17,12,19
9,7,5,6,10,2,3,1,11,0,4,8,15,19,23,12,22,20,21,13,17,18,16,14
10,8,3,7,11,0,4,2,9,1,5,6,16,20,21,13,23,18,22,14,15,19,17,12
11,6,4,8,9,1,5,0,10,2,3,7,17,18,22,14,21,19,23,12,16,20,15,13
12,23,16,15,20,13,18,17,22,21,14,19,0,5,10,3,2,7,6,11,4,9,8,1
13,21,17,16,18,14,19,15,23,22,12,20,1,3,11,4,0,8,7,9,5,10,6,2
14,22,15,17,19,12,20,16,21,23,13,18,2,4,9,5,1,6,8,10,3,11,7,0
15,14,22,12,17,19,21,20,16,18,23,13,9,2,4,6,5,1,3,8,10,0,11,7
16,12,23,13,15,20,22,18,17,19,21,14,10,0,5,7,3,2,4,6,11,1,9,8
17,13,21,14,16,18,23,19,15,20,22,12,11,1,3,8,4,0,5,7,9,2,10,6
18,20,19,21,23,22,12,14,13,15,17,16,6,8,7,9,11,10,0,2,1,3,5,4
19,18,20,22,21,23,13,12,14,16,15,17,7,6,8,10,9,11,1,0,2,4,3,5
20,19,18,23,22,21,14,13,12,17,16,15,8,7,6,11,10,9,2,1,0,5,4,3
21,17,13,18,14,16,15,23,19,12,20,22,3,11,1,0,8,4,9,5,7,6,2,10
22,15,14,19,12,17,16,21,20,13,18,23,4,9,2,1,6,5,10,3,8,7,0,11
23,16,12,20,13,15,17,22,18,14,19,21,5,10,0,2,7,3,11,4,6,8,1,9
